"$I";"AD";"AD";"$I";"BC";"BC";"$I";"AH";"AH";"$I";"DH";"DH";"$I";"EH";"EH";"$I";"GH";"GH"
"FRA1";"$I";"155.00";"157.00";"$I";"58.00";"61.01";"$I";"100.45";"103.28";"$I";"105.00";"107.30";"$I";"61.40";"65.73";"$I";"64.20";"67.80"
"FRA2";"$I";"154.00";"160.01";"$I";"57.00";"64.00";"$I";"101.98";"105.55";"$I";"104.35";"107.30";"$I";"60.88";"63.03";"$I";"62.94";"66.47"
"FRA3";"$I";"154.01";"161.00";"$I";"57.00";"63.00";"$I";"99.36";"105.65";"$I";"101.04";"109.04";"$I";"60.95";"65.60";"$I";"60.42";"66.40"
"HUS1";"$I";"168.86";"172.84";"$I";"58.55";"63.39";"$I";"102.83";"106.53";"$I";"122.38";"124.52";"$I";"56.73";"61.07";"$I";"60.44";"64.54"
"HUS2";"$I";"169.85";"175.03";"$I";"60.21";"64.38";"$I";"102.94";"108.71";"$I";"120.24";"124.52";"$I";"56.73";"62.37";"$I";"60.44";"66.84"
"HUS3";"$I";"168.76";"175.15";"$I";"61.40";"63.51";"$I";"104.35";"107.45";"$I";"120.93";"125.18";"$I";"57.20";"61.72";"$I";"58.14";"67.08"
"INC1";"$I";"155.26";"160.45";"$I";"53.15";"60.21";"$I";"95.88";"98.49";"$I";"91.68";"94.37";"$I";"62.48";"66.22";"$I";"58.90";"63.13"
"INC2";"$I";"156.26";"161.31";"$I";"51.09";"60.07";"$I";"95.77";"99.36";"$I";"91.21";"96.83";"$I";"54.92";"64.20";"$I";"54.41";"61.55"
"INC3";"$I";"154.47";"160.31";"$I";"55.08";"59.03";"$I";"93.54";"98.98";"$I";"90.43";"96.43";"$I";"59.03";"65.86";"$I";"55.97";"65.80"
"ISA1";"$I";"164.00";"168.00";"$I";"55.01";"60.03";"$I";"120.28";"123.04";"$I";"117.52";"121.02";"$I";"54.38";"57.45";"$I";"50.80";"53.25"
"ISA2";"$I";"163.00";"170.00";"$I";"54.04";"59.00";"$I";"118.80";"123.04";"$I";"116.67";"120.24";"$I";"55.47";"58.67";"$I";"52.43";"55.23"
"ISA3";"$I";"164.01";"169.01";"$I";"55.00";"59.01";"$I";"117.38";"123.11";"$I";"116.67";"122.43";"$I";"52.80";"58.31";"$I";"52.20";"55.47"
"JPL1";"$I";"167.11";"171.19";"$I";"61.03";"65.01";"$I";"118.23";"121.82";"$I";"108.30";"111.20";"$I";"63.89";"67.88";"$I";"57.28";"60.83"
"JPL2";"$I";"169.14";"173.18";"$I";"60.07";"65.07";"$I";"118.85";"120.88";"$I";"108.98";"113.17";"$I";"62.63";"69.07";"$I";"57.38";"61.62"
"JPL3";"$I";"169.03";"170.11";"$I";"59.01";"65.01";"$I";"115.88";"121.38";"$I";"110.34";"112.49";"$I";"61.72";"68.25";"$I";"59.46";"62.94"
"KHA1";"$I";"149.34";"155.54";"$I";"54.15";"59.14";"$I";"111.95";"115.75";"$I";"105.36";"111.07";"$I";"54.20";"58.14";"$I";"48.27";"50.61"
"KHA2";"$I";"149.34";"155.32";"$I";"52.04";"58.22";"$I";"111.20";"113.22";"$I";"105.36";"111.07";"$I";"53.71";"58.14";"$I";"49.41";"52.80"
"KHA3";"$I";"150.33";"157.26";"$I";"52.09";"60.21";"$I";"109.04";"112.70";"$I";"104.74";"111.07";"$I";"55.47";"60.03";"$I";"49.20";"53.41"
"LOT1";"$I";"152.64";"157.62";"$I";"51.35";"56.22";"$I";"116.73";"119.67";"$I";"114.62";"117.41";"$I";"55.44";"59.55";"$I";"53.01";"56.60"
"LOT2";"$I";"154.64";"157.62";"$I";"52.24";"56.32";"$I";"117.52";"119.67";"$I";"114.28";"117.41";"$I";"57.63";"60.61";"$I";"54.41";"57.98"
"LOT3";"$I";"154.83";"157.81";"$I";"50.36";"55.23";"$I";"117.59";"119.75";"$I";"114.04";"116.83";"$I";"56.64";"61.07";"$I";"55.23";"57.80"
"PHI1";"$I";"163.08";"167.07";"$I";"66.03";"68.07";"$I";"115.26";"119.60";"$I";"116.10";"121.02";"$I";"60.96";"65.30";"$I";"57.01";"59.82"
"PHI2";"$I";"164.00";"168.03";"$I";"65.03";"68.12";"$I";"114.55";"119.60";"$I";"115.26";"120.97";"$I";"60.96";"67.27";"$I";"55.32";"61.52"
"PHI3";"$I";"161.01";"167.00";"$I";"64.07";"69.01";"$I";"116.67";"118.79";"$I";"114.59";"118.83";"$I";"61.52";"68.68";"$I";"56.57";"60.11"
"ROM1";"$I";"167.15";"171.24";"$I";"64.07";"68.07";"$I";"123.75";"126.59";"$I";"122.92";"126.37";"$I";"51.22";"54.64";"$I";"49.65";"53.71"
"ROM2";"$I";"168.15";"172.14";"$I";"63.13";"68.07";"$I";"122.33";"127.29";"$I";"124.08";"127.14";"$I";"50.22";"57.14";"$I";"49.93";"56.94"
"ROM3";"$I";"167.11";"171.19";"$I";"63.13";"68.03";"$I";"121.62";"126.57";"$I";"122.58";"127.78";"$I";"49.41";"57.28";"$I";"50.99";"60.46"
